DEPTID|UFID|JOBCODE|SAL_ADMIN_PLAN|START_DATE|END_DATE|JOBCODE_DESCRIPTION|HR_POSITION
34160200|84957104|178|CTSY|2013-07-01|NULL|CO CLIN POSTDOC ASO|1
13500000|80100558|1479|OPSN|2014-02-07|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
29200000|83441167|54|OF12|2013-07-01|NULL|ADJ PROF|1
16900000|80104480|718|CTSY|2006-11-17|NULL|CO POSTDOC ASO|1
19020000|84831379|743|CTSY|2014-04-01|NULL|CO AST PROF|1
32010000|81906085|865|TU2N|2011-09-02|NULL|IT INTERMEDIATE|1
60770000|83130686|1479|OPSN|2004-07-19|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
19030000|89691292|729|CTSY|2013-10-22|NULL|CO SCHOLAR|1
60354047|89606620|434|FA12|1995-08-11|NULL|EXT AGENT III|1
60440000|87151398|1479|OPSN|2013-08-14|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
18180000|89616959|1479|OPSN|2014-02-27|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
13020100|85187413|396|FELL|2013-08-30|NULL|PREDOC FELLOWSHIP|1
16900100|85876597|396|FELL|2012-08-31|NULL|PREDOC FELLOWSHIP|1
60732000|89945339|1479|OPSN|2013-05-06|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
29050105|80684700|1635|TU2N|2000-02-28|NULL|CODING REIMBURSE ANALYST 1|1
60090000|85402180|1479|OPSN|1984-04-02|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
19220300|83328210|1162|TA12|2014-02-14|NULL|EDUC/TRAINING PROGS, ASO DIR 5|1
28311001|86986850|1479|OPSN|2013-08-02|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
05370000|88399165|1479|OPSN|2012-05-01|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
73030500|87971900|1110|US2N|1994-08-03|NULL|POLICE SERVICE TECH, SR|1
29110000|83285620|805|TU2N|1999-06-18|NULL|SECRETARY, SR|1
29120000|83028990|321|FA12|2002-06-28|NULL|PRG DIR & ASO PROF|1
02040000|81868180|67|OFSU|2011-11-21|NULL|ADJ LECTURER|1
29050300|86591120|321|FACM|1993-07-01|NULL|PRG DIR & ASO PROF|1
29120000|80899815|1479|OPSN|2013-07-29|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
29011700|80302540|1476|TA12|1993-09-03|NULL|IT EXPERT|1
32030000|80202220|1499|CTSY|2010-04-16|NULL|JNT RES AST PROF|1
28311001|83006051|1479|OPSN|2012-05-21|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
14200500|82833423|1479|OPSN|2013-07-01|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
16240100|81406906|396|FELL|2012-08-31|NULL|PREDOC FELLOWSHIP|1
30290000|81661160|1479|OPSN|2009-07-01|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
30290000|81637940|1479|OPSN|1997-04-15|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
16860100|84145447|67|OF09|2010-08-16|NULL|ADJ LECTURER|1
18200000|89025449|1479|OPSN|2012-07-06|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
