UFID|UF_SECURITY_FLG|UF_PROTECT_FLG|UF_PUBLISH_FLG
80013110|N|N|N
80013128|N|N|Y
80013250|N|N|Y
80013340|N|N|Y
80013360|N|N|Y
80013361|N|N|N
80013671|N|N|Y
80013781|N|N|Y
80013870|N|N|N
80013901|N|N|Y
80013952|N|N|Y
80014050|N|N|N
80014069|N|N|N
80014100|N|N|N
80014201|N|N|N
80014270|N|N|N
80014330|N|N|N
80014360|N|N|N
80014370|N|N|N
80014414|N|N|Y
80014442|N|N|Y
80014594|N|N|Y
80014621|N|N|N
80014640|N|N|N
80014770|N|N|N
80014839|N|N|Y
80014983|N|N|Y
80015041|N|N|N
80015157|N|N|Y
80015230|N|N|N
80015300|N|N|Y
80015430|N|N|Y
80015461|N|N|N
80015493|N|N|N
80015524|N|N|Y
80015550|N|N|N
80015647|N|N|N
80015720|N|N|Y
80015830|N|N|N
80015870|N|N|N
80015881|N|N|N
80015900|N|N|Y
80015990|N|N|N
80016060|N|N|N
80016065|N|N|Y
80016120|N|N|N
80016163|N|N|Y
80016286|N|N|Y
80016301|N|N|N
80016350|N|N|N
80016450|N|N|N
80016480|N|N|N
80016523|N|N|N
80016580|N|N|N
80016606|N|N|Y
80016643|N|N|Y
80016721|N|N|N
80016760|N|N|Y
80016999|N|N|Y
80017141|N|N|N
80017147|N|N|Y
80017225|N|N|N
80017283|N|N|Y
80017386|N|N|Y
80017510|N|N|N
80017561|N|N|N
80017688|N|N|Y
80017880|N|N|Y
80017910|N|N|N
80017981|N|N|N
80018020|N|N|N
80018080|N|N|N
80018101|N|N|Y
80018129|N|N|Y
80018229|N|N|Y
80018260|N|N|N
80018358|N|N|N
80018401|N|N|N
80018520|N|N|Y
80018559|N|N|Y
80018660|N|N|N
80018770|N|N|Y
80018803|N|N|N
80018815|N|N|Y
80018821|N|N|N
80018872|N|N|Y
80018911|N|N|Y
80018970|N|N|N
80019016|N|N|Y
80019043|N|N|Y
80019116|N|N|Y
80019138|N|N|N
80019170|N|N|N
80019210|N|N|N
80019230|N|N|N
80019241|N|N|N
80019311|N|N|Y
80019370|N|N|N
80019389|N|N|Y
80019395|N|N|Y
80019441|N|N|Y
80019540|N|N|N
80019615|N|N|Y
80019661|N|N|N
80019743|N|N|Y
80019852|N|N|Y
80020080|N|N|N
80020081|N|N|N
80020114|N|N|Y
80020180|N|N|N
80020199|N|N|Y
80020210|N|N|N
80020260|N|N|N
80020280|N|N|N
80020316|N|N|Y
80020350|N|N|N
80020358|N|N|Y
80020381|N|N|N
80020393|N|N|Y
80020430|N|N|N
80020480|N|N|N
80020501|N|N|N
80020510|N|N|Y
80020520|N|N|N
80020614|N|N|Y
80020790|N|N|N
80020820|N|N|N
80020921|N|N|N
80020934|N|N|Y
80020960|N|N|N
80021050|N|N|N
80021070|N|N|N
80021080|N|N|Y
80021101|N|N|Y
80021341|N|N|N
80021393|N|N|Y
80021420|N|N|N
80021451|N|N|N
80021475|N|N|Y
80021500|N|N|N
80021650|N|N|N
80021690|N|N|N
80021761|N|N|N
80021840|N|N|N
80021842|N|N|Y
80021844|N|N|Y
80021959|N|N|N
80021992|N|N|Y
80022016|N|N|Y
80022160|N|N|Y
80022181|N|N|N
80022220|N|N|N
80022440|N|N|N
80022480|N|N|N
80022557|N|N|Y
80022587|N|N|Y
80022601|N|N|N
80022680|N|N|N
80022820|N|N|N
80022911|N|N|Y
80022957|N|N|Y
80023020|N|N|N
80023021|N|N|N
80023098|N|N|Y
80023160|N|N|N
80023330|N|N|Y
80023400|N|N|N
80023441|N|N|N
80023537|N|N|N
80023570|N|N|N
80023590|N|N|N
80023639|N|N|Y
80023784|N|N|N
80023820|N|N|N
80023850|N|N|N
80023861|N|N|N
80023945|N|N|Y
80024073|N|N|Y
80024180|N|N|Y
80024230|N|N|N
80024281|N|N|N
80024480|N|N|N
80024524|N|N|Y
80024535|N|N|Y
80024570|N|N|N
80024701|N|N|N
