ufid|comment
99999628|Test UFID
38959780|Test UFID
82094510|Test UFID
05020700|Test UFID
27390580|Test UFID
65960260|Test UFID
58691040|Test UFID
94003680|Test UFID
63285700|Test UFID
00000421|Test UFID
00000841|Test UFID
09704400|Test UFID
89074910|Test UFID
00050800|Test UFID
76040020|Test UFID
10310510|Test UFID
38103040|Test UFID
80295000|Test UFID
05921400|Test UFID
62362600|Test UFID
13350790|Test UFID
46507080|Test UFID
13546500|Test UFID
39362850|Test UFID
29571270|Test UFID
37958170|Test UFID
44574920|Test UFID
12576120|Test UFID
81192020|Test UFID
34802120|Test UFID
96651510|Test UFID
96624480|Test UFID
09715830|Test UFID
82004610|Test UFID
37950200|Test UFID
14771570|Test UFID
28237520|Test UFID
00000542|Test UFID
00001083|Test UFID
00001261|Test UFID
46433900|Test UFID
77771940|Test UFID
41710730|Test UFID
98080110|Test UFID
63341480|Test UFID
57711710|Test UFID
75794440|Test UFID
01737240|Test UFID
76580900|Test UFID
01066000|Test UFID
39522500|Test UFID
92545490|Test UFID
14000090|Test UFID
45212730|Test UFID
57852860|Test UFID
68338820|Test UFID
56742270|Test UFID
49696370|Test UFID
24391100|Test UFID
17139970|Test UFID
59847780|Test UFID
80661980|Test UFID
89246750|Test UFID
47681850|Test UFID
84395070|Test UFID
30514170|Test UFID
32579840|Test UFID
87817740|Test UFID
52448400|Test UFID
15893020|Test UFID
35305780|Test UFID
78849580|Test UFID
92725150|Test UFID
89568050|Test UFID
18750570|Test UFID
91252870|Test UFID
93851520|Test UFID
56384820|Test UFID
81693420|Test UFID
04245620|Test UFID
01543370|Test UFID
95400570|Test UFID
46954830|Test UFID
02062630|Test UFID
47458310|Test UFID
73101870|Test UFID
02972720|Test UFID
75322020|Test UFID
13422320|Test UFID
55364620|Test UFID
32492680|Test UFID
35746990|Test UFID
46941190|Test UFID
67653250|Test UFID
67081870|Test UFID
15091770|Test UFID
89858900|Test UFID
33799528|Test UFID
44609180|Test UFID
72046480|Test UFID
08747550|Test UFID
